claim_id,texto_resumido,fonte_arquivo,fonte_linha,categoria,superficie_publica,comportamento_esperado,peso,criticidade,observacao
CLM-A0-121,OpenAPI declara versao 3.36.2 e foi auto-gerada dos handler signatures (Sprint 77),docs/openapi/v1.yaml,31,contratos,OpenAPI,spec regeneravel a partir do codigo Go,3,supporting,
CLM-A0-122,Autenticacao: header X-IF-ID (fallback) OU JWT Bearer token com if_id cnpj role,docs/openapi/v1.yaml,13,seguranca,API,request sem auth falha 401; com X-IF-ID ou Bearer passa,5,core,
CLM-A0-123,Rate limiting por IF com buckets independentes; X-RateLimit-* em /v1/l4/compare,docs/openapi/v1.yaml,29,seguranca,API,headers X-RateLimit-Limit e X-RateLimit-Remaining presentes,3,supporting,
CLM-A0-124,Servers: producao em https://api.radiantrisk.com/v1 e staging em https://staging-api.radiantrisk.com/v1,docs/openapi/v1.yaml,39,deployment,deploy,URLs respondem (mock ou real),3,supporting,
CLM-A0-125,Paths de Health: /healthz (liveness) e /readyz (readiness DB e dependencias),docs/openapi/v1.yaml,81,deployment,API,GET /healthz retorna 200 ok; GET /readyz retorna 503 se DB down,5,core,
CLM-A0-126,"GET /schemas lista codigos CADOC disponiveis (2030, 2060, 2061, 2062, 2070, 2160, 2170, 3040, 3044, 3050, 4111)",docs/openapi/v1.yaml,125,geracao,API,retorna array de 11 cadocs,5,core,
CLM-A0-127,GET /schemas/{cadoc} retorna leiaute efetivo,docs/openapi/v1.yaml,146,geracao,API,retorna SchemaVersion,3,supporting,
CLM-A0-128,GET /schemas/{cadoc}/versions lista todas versoes de layout,docs/openapi/v1.yaml,165,geracao,API,retorna array de versions,3,supporting,
CLM-A0-129,GET /schemas/{cadoc}/changelog lista historico por data-base,docs/openapi/v1.yaml,191,geracao,API,retorna changelog,3,supporting,
CLM-A0-130,GET /rules lista catalogo de regras (com filtros),docs/openapi/v1.yaml,240,validacao,API,retorna array de regras,5,core,
CLM-A0-131,GET /rules/{cadoc} retorna regras por CADOC,docs/openapi/v1.yaml,260,validacao,API,retorna regras filtradas,5,core,
